STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,SECTOR,Institutional sector,STANDARD_REVENUE,Revenue category,CTRY_SPECIFIC_REVENUE,Country-specific revenue category,UNIT_MEASURE,Unit of measure,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,REVENUE_CODE,Revenue code,DECIMALS,Decimals,CURRENCY,Currency
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_LAC@DF_RSLAC(2.0),A comparative table of tax revenues for Revenue Statistics in Latin America and the Caribbean,I,COL,Colombia,TAX_REV,Tax revenue,S13,General government,T_5300,"Unallocable between taxes on production, sale, transfer, leasing and delivery of goods and rendering of services and taxes on use of goods, or on permission to use goods, or perform activities",_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,2005,,0,,A,Normal value,0,Units,5300,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_LAC@DF_RSLAC(2.0),A comparative table of tax revenues for Revenue Statistics in Latin America and the Caribbean,I,COL,Colombia,TAX_REV,Tax revenue,S13,General government,T_5300,"Unallocable between taxes on production, sale, transfer, leasing and delivery of goods and rendering of services and taxes on use of goods, or on permission to use goods, or perform activities",_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,2006,,0,,A,Normal value,0,Units,5300,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_LAC@DF_RSLAC(2.0),A comparative table of tax revenues for Revenue Statistics in Latin America and the Caribbean,I,COL,Colombia,TAX_REV,Tax revenue,S13,General government,T_5300,"Unallocable between taxes on production, sale, transfer, leasing and delivery of goods and rendering of services and taxes on use of goods, or on permission to use goods, or perform activities",_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,2007,,0,,A,Normal value,0,Units,5300,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_LAC@DF_RSLAC(2.0),A comparative table of tax revenues for Revenue Statistics in Latin America and the Caribbean,I,COL,Colombia,TAX_REV,Tax revenue,S13,General government,T_5300,"Unallocable between taxes on production, sale, transfer, leasing and delivery of goods and rendering of services and taxes on use of goods, or on permission to use goods, or perform activities",_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,2008,,0,,A,Normal value,0,Units,5300,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_LAC@DF_RSLAC(2.0),A comparative table of tax revenues for Revenue Statistics in Latin America and the Caribbean,I,COL,Colombia,TAX_REV,Tax revenue,S13,General government,T_5300,"Unallocable between taxes on production, sale, transfer, leasing and delivery of goods and rendering of services and taxes on use of goods, or on permission to use goods, or perform activities",_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,2009,,0,,A,Normal value,0,Units,5300,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_LAC@DF_RSLAC(2.0),A comparative table of tax revenues for Revenue Statistics in Latin America and the Caribbean,I,COL,Colombia,TAX_REV,Tax revenue,S13,General government,T_5300,"Unallocable between taxes on production, sale, transfer, leasing and delivery of goods and rendering of services and taxes on use of goods, or on permission to use goods, or perform activities",_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,2010,,0,,A,Normal value,0,Units,5300,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_LAC@DF_RSLAC(2.0),A comparative table of tax revenues for Revenue Statistics in Latin America and the Caribbean,I,COL,Colombia,TAX_REV,Tax revenue,S13,General government,T_5300,"Unallocable between taxes on production, sale, transfer, leasing and delivery of goods and rendering of services and taxes on use of goods, or on permission to use goods, or perform activities",_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,2011,,0,,A,Normal value,0,Units,5300,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_LAC@DF_RSLAC(2.0),A comparative table of tax revenues for Revenue Statistics in Latin America and the Caribbean,I,COL,Colombia,TAX_REV,Tax revenue,S13,General government,T_5300,"Unallocable between taxes on production, sale, transfer, leasing and delivery of goods and rendering of services and taxes on use of goods, or on permission to use goods, or perform activities",_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,2012,,0,,A,Normal value,0,Units,5300,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_LAC@DF_RSLAC(2.0),A comparative table of tax revenues for Revenue Statistics in Latin America and the Caribbean,I,COL,Colombia,TAX_REV,Tax revenue,S13,General government,T_5300,"Unallocable between taxes on production, sale, transfer, leasing and delivery of goods and rendering of services and taxes on use of goods, or on permission to use goods, or perform activities",_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,2013,,0,,A,Normal value,0,Units,5300,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_LAC@DF_RSLAC(2.0),A comparative table of tax revenues for Revenue Statistics in Latin America and the Caribbean,I,COL,Colombia,TAX_REV,Tax revenue,S13,General government,T_5300,"Unallocable between taxes on production, sale, transfer, leasing and delivery of goods and rendering of services and taxes on use of goods, or on permission to use goods, or perform activities",_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,2014,,0,,A,Normal value,0,Units,5300,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_LAC@DF_RSLAC(2.0),A comparative table of tax revenues for Revenue Statistics in Latin America and the Caribbean,I,COL,Colombia,TAX_REV,Tax revenue,S13,General government,T_5300,"Unallocable between taxes on production, sale, transfer, leasing and delivery of goods and rendering of services and taxes on use of goods, or on permission to use goods, or perform activities",_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,2015,,0,,A,Normal value,0,Units,5300,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_LAC@DF_RSLAC(2.0),A comparative table of tax revenues for Revenue Statistics in Latin America and the Caribbean,I,COL,Colombia,TAX_REV,Tax revenue,S13,General government,T_5300,"Unallocable between taxes on production, sale, transfer, leasing and delivery of goods and rendering of services and taxes on use of goods, or on permission to use goods, or perform activities",_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,2016,,0,,A,Normal value,0,Units,5300,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_LAC@DF_RSLAC(2.0),A comparative table of tax revenues for Revenue Statistics in Latin America and the Caribbean,I,COL,Colombia,TAX_REV,Tax revenue,S13,General government,T_5300,"Unallocable between taxes on production, sale, transfer, leasing and delivery of goods and rendering of services and taxes on use of goods, or on permission to use goods, or perform activities",_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,2017,,0,,A,Normal value,0,Units,5300,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_LAC@DF_RSLAC(2.0),A comparative table of tax revenues for Revenue Statistics in Latin America and the Caribbean,I,COL,Colombia,TAX_REV,Tax revenue,S13,General government,T_5300,"Unallocable between taxes on production, sale, transfer, leasing and delivery of goods and rendering of services and taxes on use of goods, or on permission to use goods, or perform activities",_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,2018,,0,,A,Normal value,0,Units,5300,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_LAC@DF_RSLAC(2.0),A comparative table of tax revenues for Revenue Statistics in Latin America and the Caribbean,I,COL,Colombia,TAX_REV,Tax revenue,S13,General government,T_5300,"Unallocable between taxes on production, sale, transfer, leasing and delivery of goods and rendering of services and taxes on use of goods, or on permission to use goods, or perform activities",_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,2019,,0,,A,Normal value,0,Units,5300,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_LAC@DF_RSLAC(2.0),A comparative table of tax revenues for Revenue Statistics in Latin America and the Caribbean,I,COL,Colombia,TAX_REV,Tax revenue,S13,General government,T_5300,"Unallocable between taxes on production, sale, transfer, leasing and delivery of goods and rendering of services and taxes on use of goods, or on permission to use goods, or perform activities",_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,2020,,0,,A,Normal value,0,Units,5300,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_LAC@DF_RSLAC(2.0),A comparative table of tax revenues for Revenue Statistics in Latin America and the Caribbean,I,COL,Colombia,TAX_REV,Tax revenue,S13,General government,T_5300,"Unallocable between taxes on production, sale, transfer, leasing and delivery of goods and rendering of services and taxes on use of goods, or on permission to use goods, or perform activities",_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,2021,,0,,A,Normal value,0,Units,5300,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_LAC@DF_RSLAC(2.0),A comparative table of tax revenues for Revenue Statistics in Latin America and the Caribbean,I,COL,Colombia,TAX_REV,Tax revenue,S13,General government,T_5300,"Unallocable between taxes on production, sale, transfer, leasing and delivery of goods and rendering of services and taxes on use of goods, or on permission to use goods, or perform activities",_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,2022,,0,,A,Normal value,0,Units,5300,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_LAC@DF_RSLAC(2.0),A comparative table of tax revenues for Revenue Statistics in Latin America and the Caribbean,I,COL,Colombia,TAX_REV,Tax revenue,S13,General government,T_5300,"Unallocable between taxes on production, sale, transfer, leasing and delivery of goods and rendering of services and taxes on use of goods, or on permission to use goods, or perform activities",_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,2023,,0,,A,Normal value,0,Units,5300,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_LAC@DF_RSLAC(2.0),A comparative table of tax revenues for Revenue Statistics in Latin America and the Caribbean,I,A9,Latin America and the Caribbean,TAX_REV,Tax revenue,S13,General government,T_5300,"Unallocable between taxes on production, sale, transfer, leasing and delivery of goods and rendering of services and taxes on use of goods, or on permission to use goods, or perform activities",_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,1991,,0,,A,Normal value,0,Units,5300,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_LAC@DF_RSLAC(2.0),A comparative table of tax revenues for Revenue Statistics in Latin America and the Caribbean,I,COL,Colombia,TAX_REV,Tax revenue,S13,General government,T_5130,Unallocable between general taxes and taxes on specific goods and services,_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,1990,,0,,A,Normal value,0,Units,5130,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_LAC@DF_RSLAC(2.0),A comparative table of tax revenues for Revenue Statistics in Latin America and the Caribbean,I,COL,Colombia,TAX_REV,Tax revenue,S13,General government,T_5130,Unallocable between general taxes and taxes on specific goods and services,_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,1991,,0,,A,Normal value,0,Units,5130,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_LAC@DF_RSLAC(2.0),A comparative table of tax revenues for Revenue Statistics in Latin America and the Caribbean,I,COL,Colombia,TAX_REV,Tax revenue,S13,General government,T_5130,Unallocable between general taxes and taxes on specific goods and services,_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,1992,,0,,A,Normal value,0,Units,5130,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_LAC@DF_RSLAC(2.0),A comparative table of tax revenues for Revenue Statistics in Latin America and the Caribbean,I,COL,Colombia,TAX_REV,Tax revenue,S13,General government,T_5130,Unallocable between general taxes and taxes on specific goods and services,_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,1993,,0,,A,Normal value,0,Units,5130,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_LAC@DF_RSLAC(2.0),A comparative table of tax revenues for Revenue Statistics in Latin America and the Caribbean,I,COL,Colombia,TAX_REV,Tax revenue,S13,General government,T_5130,Unallocable between general taxes and taxes on specific goods and services,_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,1994,,0,,A,Normal value,0,Units,5130,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_LAC@DF_RSLAC(2.0),A comparative table of tax revenues for Revenue Statistics in Latin America and the Caribbean,I,COL,Colombia,TAX_REV,Tax revenue,S13,General government,T_5130,Unallocable between general taxes and taxes on specific goods and services,_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,1995,,0,,A,Normal value,0,Units,5130,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_LAC@DF_RSLAC(2.0),A comparative table of tax revenues for Revenue Statistics in Latin America and the Caribbean,I,COL,Colombia,TAX_REV,Tax revenue,S13,General government,T_5130,Unallocable between general taxes and taxes on specific goods and services,_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,1996,,0,,A,Normal value,0,Units,5130,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_LAC@DF_RSLAC(2.0),A comparative table of tax revenues for Revenue Statistics in Latin America and the Caribbean,I,COL,Colombia,TAX_REV,Tax revenue,S13,General government,T_5130,Unallocable between general taxes and taxes on specific goods and services,_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,1997,,0,,A,Normal value,0,Units,5130,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_LAC@DF_RSLAC(2.0),A comparative table of tax revenues for Revenue Statistics in Latin America and the Caribbean,I,COL,Colombia,TAX_REV,Tax revenue,S13,General government,T_5130,Unallocable between general taxes and taxes on specific goods and services,_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,1998,,0,,A,Normal value,0,Units,5130,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_LAC@DF_RSLAC(2.0),A comparative table of tax revenues for Revenue Statistics in Latin America and the Caribbean,I,COL,Colombia,TAX_REV,Tax revenue,S13,General government,T_5130,Unallocable between general taxes and taxes on specific goods and services,_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,1999,,0,,A,Normal value,0,Units,5130,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_LAC@DF_RSLAC(2.0),A comparative table of tax revenues for Revenue Statistics in Latin America and the Caribbean,I,COL,Colombia,TAX_REV,Tax revenue,S13,General government,T_5130,Unallocable between general taxes and taxes on specific goods and services,_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,2000,,0,,A,Normal value,0,Units,5130,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_LAC@DF_RSLAC(2.0),A comparative table of tax revenues for Revenue Statistics in Latin America and the Caribbean,I,COL,Colombia,TAX_REV,Tax revenue,S13,General government,T_5130,Unallocable between general taxes and taxes on specific goods and services,_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,2001,,0,,A,Normal value,0,Units,5130,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_LAC@DF_RSLAC(2.0),A comparative table of tax revenues for Revenue Statistics in Latin America and the Caribbean,I,COL,Colombia,TAX_REV,Tax revenue,S13,General government,T_5130,Unallocable between general taxes and taxes on specific goods and services,_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,2002,,0,,A,Normal value,0,Units,5130,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_LAC@DF_RSLAC(2.0),A comparative table of tax revenues for Revenue Statistics in Latin America and the Caribbean,I,COL,Colombia,TAX_REV,Tax revenue,S13,General government,T_5130,Unallocable between general taxes and taxes on specific goods and services,_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,2003,,0,,A,Normal value,0,Units,5130,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_LAC@DF_RSLAC(2.0),A comparative table of tax revenues for Revenue Statistics in Latin America and the Caribbean,I,COL,Colombia,TAX_REV,Tax revenue,S13,General government,T_5130,Unallocable between general taxes and taxes on specific goods and services,_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,2004,,0,,A,Normal value,0,Units,5130,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_LAC@DF_RSLAC(2.0),A comparative table of tax revenues for Revenue Statistics in Latin America and the Caribbean,I,COL,Colombia,TAX_REV,Tax revenue,S13,General government,T_5130,Unallocable between general taxes and taxes on specific goods and services,_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,2005,,0,,A,Normal value,0,Units,5130,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_LAC@DF_RSLAC(2.0),A comparative table of tax revenues for Revenue Statistics in Latin America and the Caribbean,I,COL,Colombia,TAX_REV,Tax revenue,S13,General government,T_5130,Unallocable between general taxes and taxes on specific goods and services,_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,2006,,0,,A,Normal value,0,Units,5130,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_LAC@DF_RSLAC(2.0),A comparative table of tax revenues for Revenue Statistics in Latin America and the Caribbean,I,COL,Colombia,TAX_REV,Tax revenue,S13,General government,T_5130,Unallocable between general taxes and taxes on specific goods and services,_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,2007,,0,,A,Normal value,0,Units,5130,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_LAC@DF_RSLAC(2.0),A comparative table of tax revenues for Revenue Statistics in Latin America and the Caribbean,I,COL,Colombia,TAX_REV,Tax revenue,S13,General government,T_5130,Unallocable between general taxes and taxes on specific goods and services,_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,2008,,0,,A,Normal value,0,Units,5130,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_LAC@DF_RSLAC(2.0),A comparative table of tax revenues for Revenue Statistics in Latin America and the Caribbean,I,COL,Colombia,TAX_REV,Tax revenue,S13,General government,T_5130,Unallocable between general taxes and taxes on specific goods and services,_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,2009,,0,,A,Normal value,0,Units,5130,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_LAC@DF_RSLAC(2.0),A comparative table of tax revenues for Revenue Statistics in Latin America and the Caribbean,I,COL,Colombia,TAX_REV,Tax revenue,S13,General government,T_5130,Unallocable between general taxes and taxes on specific goods and services,_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,2010,,0,,A,Normal value,0,Units,5130,,1,One,_Z,Not applicable
DATAFLOW,OECD.CTP.TPS:DSD_REV_COMP_LAC@DF_RSLAC(2.0),A comparative table of tax revenues for Revenue Statistics in Latin America and the Caribbean,I,COL,Colombia,TAX_REV,Tax revenue,S13,General government,T_5130,Unallocable between general taxes and taxes on specific goods and services,_T,Total,PT_B1GQ,Percentage of GDP,A,Annual,2011,,0,,A,Normal value,0,Units,5130,,1,One,_Z,Not applicable
